spotify_album_id,artist,album,year,album_rating,album_score
5Fy9FqVKNYiJOjkpzj2bCB,Said The Whale,hawaiii,2013,3.0,589.0741333
0DjU8hU3pNVmsTMMKar05a,Aloa Input,Mars etc.,2015,3.5,667.464537374
6gYzypEY4tTiESfptdoOrB,Amber Run,Pilot EP,2014,3.5,641.413381818
1f9OnWfmuBiKkPHbc2H5un,Amber Run,Spark,2014,2.5,477.426014568
5zC2WoRHM1XdRsIT2EQ1QM,Andrew Belle,Black Bear (Hushed),2015,3.5,692.626014568
6EVYTRG1drKdO8OnIQBeEj,Ariana Grande,My Everything (Deluxe),2014,3.5,667.465820192
69ca0kNrnT5F8jvzNpEjD8,Asgeir,In the Silence,2013,4.0,783.328
3QykM79uWpxMEc3e29D711,BORNS,Candy,2014,4.0,766.5424
2ODSmTKFU0iLiN9F0HU2PJ,Bailiff,Remise,2014,3.0,535.910766667
2ySVQMqGxWWzr3qm6xyQ8b,Be Calm Honcho,Be Calm Honcho - Honcho Dreams,2014,3.0,578.35
6tMBErEUn2DnUPqG7UJzx5,Bear's Den,Islands,2014,4.0,819.374
0AmTX3TWATDML7icJw4KGK,Beaty Heart,Mixed Blessings,2014,2.5,528.092343144
3c2TzUftOakyVsesUMgAOB,Betty Who,Take Me When You Go,2014,4.0,713.816589423
2eyAPyvgoVV4lAXz1ytBw7,Black Taxi,Electroshock Death Grip,2014,3.5,674.293333333
0rB352gGtPwLhv3QJwhWD2,Blackbear,The Afterglow,2014,1.5,362.3968
0cnNCK2xpudXjB8pzsrYy9,Bleachers,Strange Desire,2014,4.0,702.679354545
4fQnI74EUHDBM9Mmww9eCo,CRUISR,All Over,2014,4.0,709.765466667
2kdYwte5WukmMd0SpztTgT,Caleb Hawley,Side 1,2014,4.0,742.69824
22abk2xMZQXLX05d1ukW0D,Caleb Hawley,Side 2,2014,3.0,606.17536
5r4nz5LZHeGUcZCrWbfWkx,Caribou,Our Love,2014,3.0,596.366439024
5r6WNyVAgsYbMC5cdf0s0O,Cash+David,Triptych,2015,4.0,795.0564
0q0Q0cji1vzyB7f8kPg1sh,Cathedrals,Cathedrals EP,2014,3.0,594.203066667
5OOnz2mXj7Gb8FPGpeEc2b,Charlotte OC,Strange EP,2014,3.5,692.626014568
68ax7q14w23UTJGKnqXvO0,Chet Faker,Built on Glass,2014,2.5,517.441226667
45mslxXwdSX1SI672quFO6,Close Talker,Flux,2014,4.0,704.78
01x41UlgUnQ3QX5OLcIKFo,Cold War Kids,Hold My Home,2014,2.5,526.209995358
2mMrbvaKYuUnmNoFTWMhs0,Crywolf,Angels - EP,2014,3.0,594.203066667
4lbcBq4YD1OQsY1MTHPBjW,Dana Buoy,Preacher,2014,3.0,630.805
28BcqmbDhXdy7Fs4Wavkhf,Diarrhea Planet,Aliens in the Outfield,2014,3.0,630.805
0ptlfJfwGTy0Yvrk14JK1I,Drake,If You're Reading This It's Too Late,2015,2.5,507.172514467
5lxQSbT8sQ4aUuv3dzshG4,Elliphant,Look Like You Love It,2014,2.5,450.605742857
4M3ihyNkzY5GCOq94OiclR,Elliphant,One More,2014,3.0,556.0768
6o5o7axhX7q6dbFwh1IUDc,Ex Cops,Daggers,2014,2.5,490.118
022DrG7Wp2PSCwzuD0bSzT,Fall Out Boy,American Beauty/American Psycho,2015,4.0,806.823084013
2A8IKX257C4hJaYUHMhLP7,Father John Misty,"I Love You, Honeybear",2015,2.5,504.891097233
2WBQEn5OPnIvyy9I1Y2Ctj,Field Report,Marigolden,2014,3.0,630.805
2qwN15acAl3sm3Idce5vK9,Foo Fighters,Sonic Highways,2014,3.0,552.4184
3L3s7UHWhr0XTBiSDgBqSX,Foreign Fields,What I Kept in Hiding,2015,4.0,709.765466667
42Dl7DMRgzVieMlQCsQ54O,Fyfe,Control,2015,4.0,737.259828571
0fLXaLM0nj171cn2uzJCHn,Garden City Movement,Bengali Cinema (EP),2014,3.0,556.0768
3YL14IGd7bGMhmo0938SOi,Geographer,Ghost Modern,2015,3.0,602.709279051
4DjXAYzBSS7az4Ofdo6hiv,Grizfolk,From The Spark,2014,4.5,857.3568
7G50IM1sC7TqzeCcmtCejn,High Highs,Ocean to City,2014,3.5,692.626014568
3uP20RvcBDDnlBpRZQIoUU,High Highs,Open Season (Deluxe Edition),2014,3.5,688.217876923
0mECQjDNmBl1vThYWBQX5D,Iamamiwhoami,Blue,2014,3.0,532.14925
7viNUmZZ8ztn2UB4XB3jIL,J. Cole,2014 Forest Hills Drive,2014,3.0,617.947627692
5BxvswQSGWrBbVCdx6mFGO,James Bay,Chaos And The Calm,2015,3.5,680.375247352
01TNBVXe8l4RZb3LDC7Iw6,James Bay,Hold Back The River,2014,3.5,697.6784
1DgHj71okrws6iGR6kuQjW,Jez Dior,The Funeral - EP,2014,3.0,568.036953846
7ycBtnsMtyVbbwTfJwRjSP,Kendrick Lamar,To Pimp A Butterfly,2015,3.0,619.641940984
5TPbIqhRZ1O1OJG1jCdaSS,Khushi,Phantoms EP,2014,4.0,795.0564
0sqWBzCqxcHekdnTNkPUAe,LIGHTS,Little Machines (Deluxe Version),2014,3.5,650.523468571
1fSoUQJVw9bGZmmqVoZvXE,Little Comets,Hope Is Just a State of Mind,2015,4.0,769.546760784
5dn5IEPDGPcfP2BYgmxilr,Little Comets,The Sanguine EP,2014,2.5,508.3024
3nw9BdZBhUyKGt4mixnEM4,Lost Lander,Medallion,2015,3.0,574.094909091
7F58zK8t8whSFjX5X09d28,Lupe Fiasco,Tetsuo & Youth,2015,3.0,547.966196226
1AeuJEX5SJ72iOcANuMEfi,MADE IN HEIGHTS,MADE IN HEIGHTS,2013,3.0,621.990766667
3uKLwDjku2Us0c81LEmftR,Madeon,Adventure (Deluxe),2015,3.5,685.060717647
4xMA5FRlw3rVo9ceYS3XSV,Man Without Country,Maximum Entropy,2014,3.0,618.410197333
18PDqwEyXNwfSGLOOZ1JVc,Midnight Faces,The Fire Is Gone,2014,4.0,810.14192
6a9rOvIUdEZ66aT9l4pEzO,Mighty Oaks,Howl,2015,3.5,680.375247352
7MbZT5JzECttBUY8qJvPXh,Milo Greene,Control,2015,2.5,495.997037899
726GB3GTBwPdsGr5XzOQbz,MisterWives,Our Own House,2015,3.5,649.086863768
5d1EnTsM3SBkly6fENKprF,Mr Twin Sister,Mr Twin Sister,2014,2.5,503.664468966
0mQhHbcUiitNPbl7QdJgey,Mtns,Salvage,2014,4.0,720.113
6ZvzfNJb1o43Zjy6djOCEF,Murder By Death,Big Dark Love,2015,3.0,559.68446967
1QMnpTgzloD7PCfsOISDii,Nao,So Good,2014,3.0,630.805
59zddp1qWsZXvMINHvt6Pe,Ne-Yo,Non-Fiction,2015,3.0,547.907476923
2DyWMqgNH2H27pbACOkjZy,Noble Oak,Away,2013,2.5,450.1984
5SXT6dwhHX56Sos7KMcMF5,ODESZA,In Return,2014,4.5,857.3568
3w6EJnnZ02Ntu7dCu9rs0F,OK Go,Hungry Ghosts,2014,3.0,599.834133333
5L0cwDA7GrmnPg2tnUkqCC,Osca,Blood EP (EP),2014,4.0,766.5424
6ABkacBzpf0AQ7z7xfUtt2,Panama,Always EP (Deluxe Edition),2014,4.0,766.5424
1tuA98Wr7drhpoaMqPIO5V,Passenger,Whispers II,2015,3.0,602.56
5vHUSuZ5xizxS3zfr3SKkq,Passion Pit,Kindred,2015,3.0,630.805
6EMrQS4jWRbvfE3I3s9BGM,Phaeleh,A World Without,2014,3.0,623.6496
2Qwl719PJmTu5TSntSLJYJ,Phoria,Display,2014,3.0,615.9024
2Y2brbocgWHzT083u8W96O,Prinze George,Prinze George,2015,3.0,630.805
4ymjpcGruNuUUUZOeGawLe,Purity Ring,another eternity,2015,4.0,765.574
7lAYJiypiPbCDvjKOBX1TV,Real Estate,Atlas,2014,3.0,568.258315556
0VODncqU5g2wKCy53EjcwS,Reptar,Lurid Glow,2015,3.0,596.366439024
0WN7WbhJY7QZjjVIvnlhH5,Robby Hunter Band,Magic City Hippies,2013,3.5,693.1861
26HnkEss9vTtnr5ngN1dvC,Royal,Cycles,2014,2.5,453.265
6fZ78Jc9r7684slWcCgt7Z,Royksopp & Robyn,Do It Again,2014,3.0,571.266333333
2lPYlP4eumsjz6LBG8GCbG,Run The Jewels,Run the Jewels 2,2014,4.0,795.0564
2qxHbPkJbXIGlC940RWehf,S. Carey,Supermoon,2015,3.0,594.203066667
6ce0iHUNEFDL2UWJjXlI6L,SBTRKT,Wonder Where We Land,2014,2.5,433.968506329
5Fy9FqVKNYiJOjkpzj2bCB,Said The Whale,hawaiii,2013,3.0,589.074133333
37MB9uLiWkQKP13vcRsPAq,Saigon,GSNT 3: The troubled times of Brian Carenard,2014,1.5,359.240533333
2r69WsAMyjbgLf8c4woaUr,Saint Motel,My Type EP,2014,2.5,508.3024
53VK07Mw1BrwHmWYaCbU6B,Sante Les Amis,Sudamericana,2014,2.5,450.986776923
2yCHRv9UcB0C2HSWNGmUXo,Say Lou Lou,Lucid Dreaming (Deluxe Edition),2015,3.0,621.396621538
43eSOxjJhz3xL69H9JApAS,Shy Girls,4wz,2015,3.0,597.068069052
7kpoiH4ybuh6G3OJQgEBvD,Sinclair,Sweet Talk - EP,2014,3.0,595.41536
2u9iJU1eeLy4QOx6SkMsLM,Sir Sly,You Haunt Me,2014,4.5,866.538666667
6DadUIElI6GgDh8XCscyxn,Smallpools,Smallpools,2013,3.0,615.9024
5qALQpwn2RasWhIU9OASCT,Son Little,Things I Forgot,2014,2.5,490.118
4wZK7LeR8Ub6Pv0jaQJPra,Sons Et Al,Godspeed,2014,3.5,645.062
55TZx6GWm1hlEbRgkGRjma,Spoon,They Want My Soul,2014,3.0,630.805
2J21JfQmm9IcK9aFBZCLGZ,Stars,No One Is Lost,2014,3.0,630.805
2EdAZFKawR42D2reoNCNgP,Strand of Oaks,HEAL,2014,3.0,556.0768
0U8DeqqKDgIhIiWOdqiQXE,Sufjan Stevens,Carrie & Lowell,2015,3.0,582.194645818
6Hvl5h8Uc0aSRWiqV75fgb,Sun Glitters,Galaxy (feat. Sarah P.),2015,2.5,501.685
6eXqRZWrdGYoV6dI2Wd6Cp,TEAM,Good Morning Bad Day,2014,3.0,532.823244444
2pJdnCpeXm3KVUlyuNSeRX,TV On The Radio,Seeds,2014,3.5,687.850933333
0K0WhguFHBracRbeSzZgvR,The Decemberists,"What A Terrible World, What A Beautiful World",2015,2.5,452.098308571
4ytNsouFIuWg7S7xXvHZNO,The Electric Sons,Chromaesthesia,2014,3.5,650.3075
6MuQ4Q7vdA6UJkzNZzZOSM,The Griswolds,Be Impressive,2014,2.5,502.07507307
5HU6Z7afYcN23XAegZ3EQA,The Lone Bellow,Then Came the Morning,2015,2.5,512.244618362
0emtoCEQkZpGhYaeCWzc6t,The River Monks,Home Is the House,2014,3.0,602.709279051
00okcfFlB2UGqw17Oj1jcX,The Staves,If I Was,2015,2.5,517.3408
1WKQsIuSkcNPh0jZkUvotS,The Wild Wild,EP,2014,3.0,630.805
6hVDBPCFOYB5jWOBPP7YzV,The-Dream,Crown,2015,3.5,642.271573333
6IhFRqfxOviJed0wbxT1Yr,Theophilus London,Vibes,2014,3.0,545.840539759
7hU4kFxKtzylTSAbb1XDJS,Thief,Closer,2014,3.5,692.626014568
6zXUDBGLbrB9Kgkw2Y3F7L,Tinashe,Aquarius,2014,4.0,713.816589423
08eB0Rp4axIf8SRVUAMZpW,Tiny Victories,Haunts,2014,3.0,593.932827636
0O5AKenebX8hZAsezqYiKv,Todd Terje,It's Album Time,2014,3.5,692.626014568
4wp0IfsM1CHUClStCSrecA,Tom Misch,Out to Sea (EP),2014,3.5,691.33
1teQxZPWNILIowWpQA6qfm,Tove Lo,Queen Of The Clouds,2014,3.0,550.804951795
24rfV27EuYjZ6iKNapj7Ay,Treasureseason,Julep,2014,4.0,766.5424
4v6GFk6AiIYseDgnhnhnZP,Trey Songz,Trigga,2014,2.5,477.426014568
6qtVDX0U0kL5nIyRGqo7ng,Trey Songz,Trigga (Deluxe),2014,3.0,620.684532331
6WU9Z2HcsYNL3ImMBzZNow,Twin Forks,Twin Forks,2014,3.0,562.210376224
0fvbxOQ4oqfCr4uEA3IRJd,Ugly Kids Club,Head Games,2014,3.5,692.626014568
2nFo0oLv5o3esATAfPwf1V,Until The Ribbon Breaks,A Lesson Unlearnt,2015,3.0,636.851793939
0s2fghAEEk3Uzz1IbGMDlq,Vallis Alps,Vallis Alps,2015,3.5,641.413381818
7mxpMxmMM8RN39YRlo08v7,Vince Staples,Hell Can Wait,2014,4.0,736.603468571
6VJyshPiSoQP4kreHOl3Ul,WE ARE TWIN,Xtra Love,2014,3.0,568.258315556
3mNoFlD1wsoXfkljfFzExT,Walk the Moon,TALKING IS HARD,2014,4.0,774.027936364
5lphR8biw5eYgG7W0QvZsW,White Arrows,In Bardo,2014,3.0,562.210376224
4h6SzxT0xbKwZUKIIt1tLo,Wildcat! Wildcat!,No Moon at All,2014,4.0,751.317
3Ooin3fVCxtdQANb05qv7W,Worthy,Disbehave,2014,3.0,531.138140351
7hld34SrN8CappJnNSvrP4,YUS,Talisman,2014,3.0,552.346666667
55Wi5YT9n28ZPyXbaPQPGq,Years & Years,Y & Y EP,2015,3.5,641.413381818
2DrEIqL2nslCu8D7MPOfjB,Young Liars,Tidal Wave,2014,3.0,638.870109091
1g1i5pfu1HwHlddDNYoS0E,Zammuto,Anchor,2014,3.0,537.948177176
